Internal ID,External ID,Date,Period,Type,Document Number,Name,Subtotal 1,Currency
412781,006Qv00000OldBPIAZ,17/02/2026,Feb 2026,Invoice,INV1418,405 The National Gallery (London),"10,400.00 ",GBP
412782,006Qv00000Ep6mUIAR,17/02/2026,Feb 2026,Invoice,INV1419,552 Forenom,"17,000.00 ",EUR
412886,006Qv00000E9o5aIAB,18/02/2026,Feb 2026,Invoice,INV1420,321 Entain,"5,000.00 ",GBP
412887,006Qv00000C4UNFIA3,18/02/2026,Feb 2026,Invoice,INV1421,454 Semler Gruppen A/S,"35,000.00 ",EUR
412889,006Qv000005iU9BIAU,18/02/2026,Feb 2026,Invoice,INV1422,336 Rillion,"15,795.00 ",EUR
412890,006Qv00000PrHU9IAN,18/02/2026,Feb 2026,Invoice,INV1423,455 ACCA,"2,000.00 ",GBP
413302,006Qv00000MOkeXIAT,19/02/2026,Feb 2026,Invoice,INV1424,541 Raisin,"25,000.00 ",EUR
413514,006Qv00000Ki36lIAB,20/02/2026,Feb 2026,Invoice,INV1425,560 Equip Capital AS,"3,996.22 ",EUR
413745,,23/02/2026,Feb 2026,Invoice,INV1426,526 O'Learys Group,"8,000.00 ",EUR
413746,006Qv00000D1mG4IAJ,23/02/2026,Feb 2026,Invoice,INV1427,423 Ambea Sverige AB,"87,500.00 ",EUR
414503,006Qv00000DQun4IAD,25/02/2026,Feb 2026,Invoice,INV1428,461 Olav Thon Gruppen,"570,000.00 ",SEK
414504,006Qv00000Pv93OIAR,25/02/2026,Feb 2026,Invoice,INV1429,546 Rentokil Sverige AB,"32,000.00 ",EUR
414912,0065q000009G0QTAA0,27/02/2026,Feb 2026,Invoice,INV1430,553 Brand Addition,"20,000.00 ",EUR
414924,006Qv00000EsmxFIAR,27/02/2026,Feb 2026,Invoice,INV1431,555 Hundipea (Wolfscape),"17,325.00 ",EUR
415979,006Qv000004hPCCIA2,03/03/2026,Mar 2026,Invoice,INV1432,329 Roberts Of Port Dinorwic Limited,"18,000.00 ",GBP
415980,0065q000008JpQ6AAK,03/03/2026,Mar 2026,Invoice,INV1433,562 Multitude,"15,950.00 ",EUR
416593,006Qv00000PQecxIAD,04/03/2026,Mar 2026,Invoice,INV1434,520 TLT LLP,"12,000.00 ",GBP
417235,006Qv0000067KOLIA2,05/03/2026,Mar 2026,Invoice,INV1435,338 Eversheds Sutherland,"57,200.00 ",GBP
418201,006Qv00000DvJEZIA3,06/03/2026,Mar 2026,Invoice,INV1436,436 Arelion,"27,850.00 ",EUR
418304,006Qv00000J9a5LIAR,09/03/2026,Mar 2026,Invoice,INV1437,497 GRUPO HAFESA,"11,875.00 ",EUR
418505,0065q00000BvErxAAF,09/03/2026,Mar 2026,Invoice,INV1438,271 Nimlas Group,"30,000.00 ",EUR
418506,,09/03/2026,Mar 2026,Invoice,INV1439,560 Equip Capital AS,"39,250.00 ",EUR
418507,006Qv00000DsbuMIAR,09/03/2026,Mar 2026,Invoice,INV1440,304 AND Digital,"11,000.00 ",GBP
418508,006Qv00000L4LTEIA3,09/03/2026,Mar 2026,Invoice,INV1441,529 Dutch Grill Specialties BV,"12,375.00 ",EUR
419013,006Qv00000PR1fxIAD,10/03/2026,Mar 2026,Invoice,INV1442,525 MSC Cruises,"2,000.00 ",EUR
419431,006Qv00000OUv6QIAT,13/03/2026,Mar 2026,Invoice,INV1443,564 Kennedys Law LLP,"60,000.00 ",GBP
419633,,12/03/2026,Mar 2026,Invoice,INV1444,369 Vodafone - MAIN,"31,183.00 ",EUR
419634,006Qv00000GTQUBIA5,16/03/2026,Mar 2026,Invoice,INV1445,462 Alpine Racing Limited,"28,500.00 ",GBP
419635,006Qv00000GjJesIAF,16/03/2026,Mar 2026,Invoice,INV1446,222 Bark.com,"7,000.00 ",EUR
419636,006Qv000006jI0YIAU,20/03/2026,Mar 2026,Invoice,INV1447,345 Johnstons of Elgin,"30,250.00 ",GBP
420242,,13/03/2026,Mar 2026,Credit Memo,CM0131,318 Fractal Gaming AB,"10,500.00 ",EUR
420354,006Qv00000NqqDPIAZ,16/03/2026,Mar 2026,Invoice,INV1448,565 DC Thomson & Company Limited,"29,500.00 ",GBP
420757,006Qv00000R7H9VIAV,26/03/2026,Mar 2026,Invoice,INV1449,490 Citira AB,"6,000.00 ",EUR
420973,006Qv0000064h9OIAQ,17/03/2026,Mar 2026,Invoice,INV1450,225 Norstella,"19,350.00 ",GBP
421074,006Qv00000QszvfIAB,17/03/2026,Mar 2026,Invoice,INV1451,484 SEGA Europe,"3,000.00 ",GBP
421782,006Qv00000BAQB0IAP,18/03/2026,Mar 2026,Invoice,INV1452,447 Aira Group AB,"10,000.00 ",EUR
421783,006Qv00000FXbWPIA1,18/03/2026,Mar 2026,Invoice,INV1453,465 ZF Foxconn Chassis Modules,"33,000.00 ",EUR
422516,0065q000009pPguAAE,25/03/2026,Mar 2026,Invoice,INV1454,229 Alpha FMC,"38,800.00 ",GBP
423133,006Qv00000F8m22IAB,25/03/2026,Mar 2026,Invoice,INV1455,464 Zoologisk Have i København,"120,000.00 ",DKK
423134,006Qv000004ngS1IAI,25/03/2026,Mar 2026,Invoice,INV1456,348 Alfred H Knight UK Limited,"28,000.00 ",GBP
423135,0065q000009oFuPAAU,25/03/2026,Mar 2026,Invoice,INV1457,231 NCC AB,"88,000.00 ",EUR
423136,006Qv00000CQX6HIAX,25/03/2026,Mar 2026,Invoice,INV1458,450 Ridge and Partners LLP - main,"10,875.00 ",GBP
423137,006Qv00000EFRUTIA5,25/03/2026,Mar 2026,Invoice,INV1459,450 Ridge and Partners LLP - main,"10,875.00 ",GBP
423138,0065q000009pv4OAAQ,25/03/2026,Mar 2026,Invoice,INV1460,233 Addleshaw Goddard,"46,750.00 ",GBP
423545,006Qv00000MUYHNIA5,31/03/2026,Mar 2026,Invoice,INV1461,545 Advanced Northumberland,"22,000.00 ",GBP
